route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7666,56,Adamsville/Collier Heights,,3,,FF00FF,
7667,58,Atlanta Industrial/Hollywood Rd,,3,,F0CAA6,
7668,60,Hightower / Moores Mill,,3,,00FF00,
7669,66,Lynhurst Dr/Barge Rd P/R,,3,,00FFFF,
7670,67,West End,,3,,FFFF00,
7671,68,Donnelly/Beecher,,3,,00FFFF,
7672,71,Cascade  Road,,3,,00FFFF,
7673,73,Fulton Industrial,,3,,FFFF00,
7674,74,Flat Shoals,,3,,008000,
7675,75,Tucker,,3,,00FF00,
7676,78,Cleveland Ave,,3,,0080FF,
7677,79,Sylvan Hills,,3,,0080FF,
7678,81,Venetian Drive/Adams Park,,3,,00FF00,
7679,82,Camp Creek  / Welcome All,,3,,FFFF00,
7680,83,Campbellton / Greenbriar,,3,,00FFFF,
7681,84,East Point/Camp Creek,,3,,FF00FF,
7682,85,Roswell / Mansell Rd,,3,,008000,
7683,86,Fairington Rd/McAfee Road,,3,,808000,
7684,87,Roswell Rd./Morgan Falls,,3,,FFFF00,
7685,89,Flat Shoals Road/Scofield Road,,3,,00FF00,
7686,93,East Point/Delowe Drive,,3,,FFFF00,
7687,95,Metropolitan Pkwy./ Hapeville,,3,,00FFFF,
7688,99,Boulevard/Monroe Drive,,3,,00FFFF,
7689,102,Moreland/Candler Park,,3,,00FF00,
7690,103,N. Shallowford Rd./Peeler Rd.,,3,,FFFF00,
7691,104,Winters Chapel Road,,3,,FFFF00,
7692,107,Glenwood Road,,3,,008000,
7693,110,"Peachtree St./""The Peach""",,3,,808000,
7694,111,Snapfinger Woods Dr. /Stonecrest,,3,,00FF00,
7695,114,Columbia Drive,,3,,4080FF,
7696,115,Covington Highway/South Hairston Rd,,3,,00FF00,
7697,116,Redan Road / Stonecrest,,3,,FFFF00,
7698,117,Rockbridge Rd./Panola Rd.,,3,,00FFFF,
7699,119,Kensington/Hairston Rd.,,3,,808000,
7700,120,E. Ponce de Leon Ave/Tucker,,3,,FF00FF,
7701,121,Stone Mountain/Memorial Drive,,3,,FFFF00,
7702,123,N. DeKalb Mall/Belvedere,,3,,00FF00,
7703,124,Pleasantdale Road,,3,,00FFFF,
7704,125,Clarkston/Northlake,,3,,0080FF,
7705,126,Chamblee  / NorthLake,,3,,008000,
7706,132,Tilly Mill Road,,3,,FF00FF,
7707,140,North Point/Mansell P/R,,3,,00FFFF,
7708,143,Windward Park / Ride,,3,,FFFF00,
7709,148,Medical Ctr./Riveredge Pkwy.,,3,,00FF00,
7710,150,Perimeter Center/Dunwoody Village,,3,,FFFF00,
7711,153,H E Holmes / Browntown,,3,,0080FF,
7712,155,Windsor St./Lakewood  Ave.,,3,,00FFFF,
7713,162,Headland Dr. /Alison  Ct.,,3,,808000,
7714,165,Fairburn Rd./Barge Rd. Park/Ride,,3,,FFFF00,
7715,170,Brownlee Rd./Peyton,,3,,008000,
7716,172,Sylvan Road/Virginia Ave.,,3,,008000,
7717,178,Empire Blvd./Southside Ind. Park,,3,,FFFF00,
7718,180,Fairburn / Palmetto,,3,,00FFFF,
7719,181,South Fulton P/R / Fairburn,,3,,008000,
7720,183,Barge P/R /Lakewood,,3,,008000,
7721,185,Alpharetta/Holcomb Bridge Rd,,3,,FFFF00,
7722,186,Rainbow Dr. / South DeKalb,,3,,00FFFF,
7723,189,Old National Hwy/Union Station,,3,,FF00FF,
7724,196,Church/Upper Riv./Mt. Zion,,3,,FF00FF,
7725,201,Six Flags Over Georgia,,3,,0080FF,
7726,221,Stone Mountain/Memorial Dr Limited,,3,,008000,
8766,BLUE,BLUE-East/West Line,,1,,00FFFF,
8746,GOLD,GOLD-Northeast Doraville Line,,1,,FFFF00,
8748,GREEN,GREEN-Proctor Creek Line,,1,,00FF00,
8747,RED,RED-North South North Springs Line,,1,,F0CAA6,
