Title,Artist,Year,Material,Description,Entity,Location,Address,Website,Latitude,Longitude
Shango y Eshu-Elegba en la corta de Atlanta,Arturo Lindsay,2003,Painted aluminum and bronze,"Decorative exterior railings and medallions on the Municipal Courthouse feature Yoruba symbols of eyes and lightning bolts, which represent the overseeing of crossroads and justice respectively.

Courthouses are essentially crossroads– public places where issues of social justice are adjudicated, and where fundamental changes dramatically altering the future direction of our lives can occur. In response, I have drawn upon the mythology of the Yoruba, a West African civilization taht has contributed greatly to the cultural traditions of the United States and all of the Americas. Two Yoruba deities known as “orishas” speak to the courthouse’s purpose and daily activities: Orisha Eshu-Elegba, the guardian of crossroads; and Shango, the orisha in charge of social justice. Both are referenced in my designs.”

Artist-scholar originally from Panama who researches African spiritual and aesthetic retentions in contemporary America. His findings manifest themselves both in his artwork and scholarly articles. Professor of Art and Art History at Spelman College.The artist is especially interested in the cultural mixing present in Latin America, especially in his home country of Panama. He owns a studio in Portobelo and is in process of creating an artist and student colony there for artists of all nations.",City of Atlanta,City Court of Atlanta,"150 Garnett St SW, Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/shango-y-eshu-elegba-en-la-corta-de-atlanta/,33.74744,-84.3931534
City Court Gate,Harold Rittenberry,2003,,"This steel gate to the Municipal Court Building depicts a landscape scene with a man sitting under a tree. A pond, birds, the sun, and other figures are cut out of the metal. ”I see things and they’ll speak to me awhile, sometimes I’ll even have a dream about them, and then after awhile it comes out in the drawing,” artist Harold Rittenberry explains, noting in the case of many of the tree drawings, the work is from his memory of trees and woods that are no longer there. ”It’s a protest in my mind about deforestation,” he continues. ”I draw the trees so people can see them and it puts it in their minds how beautiful they are. … I read somewhere a long time ago that when the settlers came here, you could walk across the tops of trees all the way across the country to the California coast,” he says. ”But you can’t do that anymore.”

From Athens, Georgia, the artist did not start making official pieces until later in life. He began experimenting with a blowtorch and works primarily with metal, though he also creates drawings and mixed media works. He draws inspiration from the natural world, and aspects in all of his works have meanings.",City of Atlanta,City Court of Atlanta,"150 Garnett St SW, Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/city-court-gate/,33.74744,-84.3931534
Title Unknown (Children’s Mural),Lamar Smith,1994,Oil Paint,A colorful oil landscape painting populated with many figures. Two boys are holding a globe while another group of figures are standing by a toy horse. The work is 12 ft by 12 ft.,City of Atlanta,Atlanta City Detention Center Lobby,"236 Peachtree St SW, Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/title-unknown-childrens-mural/,33.7481062,-84.3952365
Phoenix,Francesco Somaini,1964-1970,Bronze,"The First National Bank of Atlanta commissioned “Phoenix” in 1970. The Phoenix was the original symbol for the bank ever since the conclusion of the Civil War.  The sculpture was relocated from the grounds of the bank and later donated to the city of Atlanta in the 1980s when the bank merged with Wachovia and the Phoenix was no longer used as its symbol.  Still, the Phoenix is important to the city’s identity as it remembers a city rising from the ashes of destruction.
Renowned Italian sculptor, Francesco Somaini, who is known for his metalworks, created the piece.",City of Atlanta,Broad Street Plaza,"Five Points MARTA Station
Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/phoenix/,33.7541414,-84.3921185
Niki,Pavlos Kougioumtzis,1996,Bronze,"In honor of the 1996 Olympic Games, the city of Athens, Greece presented the Niki sculpture, a modern rendition of the Winged Victory of Samothrace, as a permanent gift to the city of Atlanta. Located at Atlanta City Hall, the piece is a representation of the victory that results after every effort for the good, the beautiful and the true, which emulate the Olympic Ideals.

Artist Pavlos Kougioumtzis is a Greek sculptor, painter, and architect. He lives and works in Athens, Greece. He studied architecture, sculpture and",City of Atlanta,Atlanta City Hall,"Mitchell St SW near Central St SW
Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/niki/,33.7496025,-84.39115989999999
Wall Drawing #581,Sol LeWitt,1989,Colored Ink,"This wall painting is located in Atlanta’s City Hall. The artist concentrated in conceptual art, which relies more heavily on the ideas and planning rather than the execution of the work. Regarded as a founder of both Minimal and Conceptual art, in a 1969 article for Studio International, LeWitt wrote, “Two-dimensional works are not seen as objects. The work is a manifestation of an idea. It is an idea and not an object.” Without the traditional support of canvas or paper, wall drawings exist as a set of instructions and can be installed again and again.

Lewitt received a BFA from Syracuse University and was drafted in the Korean War in 1951. During his service he made posters for the Special Services. After his service, he studied at the Cartoonists and Illustrators School in NYC, and worked for Seventeen Magazine, and the MoMA. LeWitt participated in a wide range of media, but is most famous for his wall drawings and sculptures.",City of Atlanta,Atlanta City Hall,"55 Trinity Ave SW
Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/wall-drawing-581/,33.7484613,-84.39067779999999
Save It or Pave It,Adrian Barzaga,2012,Paint,"This 2012 commission by OCA/PAP’s annual art exhibition, Elevate Atlanta, heightened  the visual aesthetics of downtown atlanta/Five points area by improving the appearance of this historic central area structure through a contemporary facade installation.

Located at 143 Alabama street, this five story building, once serving as a thriving hub of activity for the Atlanta Constitution may potentially be removed upon the construction of Atlanta’s new Metro Modal Passenger Transport. Numerous activist groups are currently working to save and memorialize this building advocating for the structure’s importance and historical signifigance.

Through this minimal contemporary facade design, the artist looks to illustrate the nervous humanlike energy within the building as it currently knows not what the future holds in store.

Adrian Barzaga is an Atlanta based artist and a graduate of Georgia State University Ernest G. Welch School of Art and Design. Barzaga currently works for the City of Atlanta Public Art Program conserving and maintaining permanent public artworks and monuments.",City of Atlanta,Atlanta Constitution Building,"12 Forsyth St SW
Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/save-it-or-pave-it/,33.753799,-84.39264039999999
De-Code/Re-Code Atlanta,William F. Conway and Marcy Schulte,1994-1996,Cast concrete and steel,"This piece exposes the government regulations related to zoning and street design that determine how streets and public space look and function. They marked the locations of street restrictions, such as view corridor restrictions, access zones, and the setbacks for parking lots, buffer zones, and signage. It was awarded first prize for the Streetscape site in the competition entitled, “Public Space in the New American City/Atlanta 1996,” the project focused attention on the par language (zoning ordinances, building codes, and planning guidelines) plays in the manifestation of public space.

De-Code/Re-Code Atlanta was designed by architects, William F. Conway and Marcy Schulte. The architects deem this concept “language as infrastructure.” Conway is a professor in the Architecture program at the University of Minnesota and a partner in Conway and Schulte Architects. His research includes exploring the definition and construction of the American public realm.",City of Atlanta,,"Central Ave SE and Decatur St SE
Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/de-codere-code-atlanta/,33.7531412,-84.3876449
Birth of Atlanta,Amy Landesberg,1996,Anodized and painted steel,"“Birth of Atlanta” commemorates the 1837 founding of Atlanta, or Marthasville as it was known at the time. Not far from the monument at the intersection of Central Avenue and Alabama Street, the “Zero Mile Post” marks where City Founders drove a stake into the ground to establish the center point of the circle of the one-mile radius that formed the original city limits. The monument consists of a steel frame with seven pairs of perforated metal “feathers and wings” in flight. Its design makes an abstract reference to the Phoenix, the Greek mythological bird that rose from the ashes. Atlanta’s Civil War history and the burning of Atlanta by General Sherman led Atlanta to take up the symbol of the phoenix. The structure is located above Heritage Row in Underground Atlanta and accompanies a multimedia exhibit on the history of Atlanta managed by the Atlanta History Center.

The artist, Amy Landesberg, works as both an artist and architect. In her work, the boundaries between intimate art works, public art, and architecture overlap. She has a number of commissions throughout the City of Atlanta and has received numerous grants and awards for her work.",City of Atlanta,Underground Atlanta,"Central Ave SW and Alabama St SW
Atlanta, GA 30303",http://www.ocaatlanta.com/public_art/birth-of-atlanta/,33.7519142,-84.38900199999999
,Sam3,2011,Paint,"Sam3's massive wall downtown. This is our largest wall and was also part of Atlanta's Elevate project. 

Sam3 is a renowned street artist from Spain, whose work has recently explored new locales and waves of communication through gigantic murals across continents. Sam3’s approach towards art is minimalistic yet powerful; he defines art as a form of revealing the hidden conditions in contemporary ways of life. He desires to interact with covert surfaces to investigate cities and public spaces, ultimately inciting a conversation about ownership of public works of art. Sam3 participated in Living Walls 2011.",Living Walls & Elevate,Underground Atlanta,"54 Peachtree St SW, Atlanta, GA 30303",http://livingwallsatl.com/artists/sam3/,33.752881,-84.39122359999999
,Escif,2011,Paint,Escif's towering extinguisher can be seen next to LNY's downtown wall at Underground Atlanta from Pryor St.,Living Walls & Elevate,Underground Atlanta,"141 Pryor St SW, Atlanta, GA 30303",,33.7513931,-84.3913883
,LNY,2011,Wheat Paste,This wall is adjacent to Escif's piece at Underground Atlanta.,Living Walls & Elevate,Underground Atlanta,"Pryor St SW, Atlanta, GA 30303",,33.7502859,-84.3918472
,Mac Stewart,2014,Paint,,Living Walls,,"156 Forsyth St SW, Atlanta, GA 30303",http://livingwallsatl.com/artists/mac-stewart/,33.750176,-84.395152
,Jonathan Welsh,2014,Paint,,Living Walls,,"156 Forsyth St SW, Atlanta, GA 30303",http://livingwallsatl.com/artists/jonathan-welsh/,33.750176,-84.395152
,ROA,2011,Wheat Paste,Roa's famous alligator can be seen sprawling across an apartment building near Five Points MARTA Station.,Living Walls & Elevate,,"209 Mitchell St SW, Atlanta, GA 30303",,33.7519262,-84.394592
,Hense,2012,Paint,,Elevate,,"97 Broad St SW, Atlanta, GA 30303",,33.752044,-84.393424
,Born,2012,Paint,,Elevate,,"93 Broad St SW, Atlanta, GA 30303",,33.7521119,-84.393372
,Sever,2012,Paint,,Elevate,,"90 Broad St SW, Atlanta, GA 30303",,33.752037,-84.39282399999999
,Tilt,2012,Paint,,Elevate,,"98 Broad St SW, Atlanta, GA 30303",,33.751817,-84.3929424
,Push,2012,Paint,,Elevate,,"171 Mitchell St SW, Atlanta, GA 30303",,33.751371,-84.393312
Lost and Found,Sarah Emerson,2013,Paint,,Elevate,,"91 Broad St SW, Atlanta, GA 30303",,33.7516816,-84.3934234
Stop Telling Women to Smile,Tatyana Fazlalizadeh,2014,Wheat Paste,,Eyedrum,Eyedrum,"88 Forsyth St SW, Atlanta, GA 30303",,33.7521292,-84.3938684
Project 1960,Shelia Pree Bright,2013,Wheat Paste,,Elevate,various,,http://www.project1960.com/,,
Booga-loo Beat: All Dressed Up and No Place to Go,Tarrence Corbin,1992,Paint,,City of Atlanta,Garnett Station Place,"236 Forsyth St SW, Atlanta, GA 30303",http://clatl.com/atlanta/is-it-art/Content?oid=1257429,33.7481,-84.396688
